q,x_q1,x_q2,d_plus,d_minus,ratio,C,sign,ratio_check,comment
0,1,9,0.3387453461,0.0000000000,0.0000000000,0.0000000000,L,-,SC fails at q=3
1,2,8,0.2964021778,0.0423431683,0.1428571429,0.1250000000,L,ok,
2,3,7,0.2540590096,0.0846863365,0.3333333333,0.2500000000,L,ok,
3,2.0000000000,6,0.2584600925,0.0938641985,0.3631670854,0.2664142124,L,ok,d+ rises
4,5,5,0.1693726730,0.1693726730,1.0000000000,0.5000000000,L,ok,
5,6,4,0.1270295048,0.2117158413,1.6666666667,0.6250000000,H,ok,T=5
6,7,3,0.0846863365,0.2540590096,3.0000000000,0.7500000000,H,ok,
7,8,2,0.0423431683,0.2964021778,7.0000000000,0.8750000000,H,ok,
8,9,1,0.0000000000,0.3387453461,infinity,1.0000000000,H,ok,
