norm,R_tau_scale_0.5,R_tau_scale_1.0,R_tau_scale_2.0
p1,9.6955429785,4.8477714892,2.4238857446
p2,9.9036062466,4.9518031233,2.4759015617
pinf,12.8441989633,6.4220994817,3.2110497408
