q,S_direct,S_expanded,C,median_preferred
0,-0.1122807018,-0.1122807018,0.0000000000,False
1,-0.0842105263,-0.0842105263,0.1250000000,False
2,-0.0561403509,-0.0561403509,0.2500000000,False
3,-0.0280701754,-0.0280701754,0.3750000000,False
4,0.0000000000,0.0000000000,0.5000000000,True
5,0.0280701754,0.0280701754,0.6250000000,True
6,0.0561403509,0.0561403509,0.7500000000,True
7,0.0842105263,0.0842105263,0.8750000000,True
8,0.1122807018,0.1122807018,1.0000000000,True
